Número,Combinación
1,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte la naturaleza de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
2,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte la naturaleza de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
3,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte la naturaleza de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
4,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte la naturaleza de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
5,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte la naturaleza de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
6,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte la naturaleza de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
7,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte origen de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
8,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte origen de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
9,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte origen de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
10,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte origen de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
11,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte origen de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
12,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte origen de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
13,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte ubicación de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
14,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte ubicación de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
15,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte ubicación de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
16,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte ubicación de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
17,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte ubicación de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
18,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte ubicación de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
19,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte destino de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
20,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte destino de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
21,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte destino de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
22,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte destino de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
23,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte destino de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
24,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte destino de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
25,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte movimiento de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
26,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte movimiento de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
27,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte movimiento de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
28,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte movimiento de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
29,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte movimiento de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
30,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte movimiento de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
31,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte propiedad de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
32,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte propiedad de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
33,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte propiedad de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
34,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte propiedad de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
35,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte propiedad de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
36,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte propiedad de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
37,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte titularidad de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
38,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte titularidad de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
39,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte titularidad de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
40,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte titularidad de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
41,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte titularidad de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
42,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice Oculte titularidad de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
43,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra la naturaleza de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
44,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra la naturaleza de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
45,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra la naturaleza de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
46,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra la naturaleza de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
47,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra la naturaleza de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
48,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra la naturaleza de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
49,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra origen de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
50,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra origen de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
51,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra origen de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
52,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra origen de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
53,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra origen de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
54,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra origen de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
55,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra ubicación de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
56,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra ubicación de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
57,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra ubicación de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
58,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra ubicación de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
59,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra ubicación de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
60,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra ubicación de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
61,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra destino de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
62,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra destino de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
63,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra destino de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
64,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra destino de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
65,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra destino de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
66,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra destino de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
67,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra movimiento de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
68,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra movimiento de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
69,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra movimiento de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
70,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra movimiento de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
71,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra movimiento de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
72,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra movimiento de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
73,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra propiedad de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
74,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra propiedad de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
75,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra propiedad de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
76,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra propiedad de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
77,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra propiedad de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
78,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra propiedad de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
79,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra titularidad de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
80,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra titularidad de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
81,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra titularidad de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
82,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra titularidad de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
83,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra titularidad de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
84,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice encubra titularidad de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
85,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda ocultar la naturaleza de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
